epoch	time	lr	loss	acc	fscore_micro	val_loss	val_acc	val_fscore_micro
1	69.9001749	0.001	0.7782130079372613	70.94644168397564	0.709464430809021	0.45012867987155913	83.4	0.8339999914169312
2	17.360265899999987	0.001	0.3696351448184676	86.94057227825296	0.8694057464599609	0.2760849227905273	90.0	0.8999999761581421
3	18.926665200000002	0.001	0.23643439578511483	91.81951576283288	0.9181951284408569	0.2499435634613037	91.0	0.9100000262260437
4	18.456844200000006	0.001	0.1444616404800011	95.02934702861336	0.9502934813499451	0.2930258246921003	91.0	0.9100000262260437
5	17.10341969999999	0.001	0.07281865875673312	97.96404990114364	0.9796404838562012	0.2912137446403503	89.6	0.8960000276565552
6	17.5935231	0.001	0.050060423414249544	98.47762289068231	0.9847762584686279	0.27201507100090383	92.0	0.9200000166893005
7	17.261716799999988	0.001	0.020874907193696557	99.52311078503301	0.9952310919761658	0.2687958075404167	92.2	0.921999990940094
8	17.733036999999996	0.001	0.01027503141523349	99.87160674981658	0.9987160563468933	0.32358563859388234	91.8	0.9179999828338623
9	16.997715199999988	0.001	0.004858731721677856	99.88994864269992	0.9988994598388672	0.3318372959271073	92.2	0.921999990940094
10	17.36225989999997	0.001	0.007039342464068006	99.85326485693324	0.9985326528549194	0.3244908889904618	91.2	0.9120000004768372
11	20.670529799999997	0.001	0.04423069913121848	98.7527512839325	0.9875274896621704	0.2862156037390232	91.8	0.9179999828338623
12	17.194096300000012	0.001	0.009044582651379642	99.87160674981658	0.9987160563468933	0.3473399980068207	91.2	0.9120000004768372
13	17.069281999999987	0.001	0.0072324786620065196	99.85326485693324	0.9985326528549194	0.3437119399383664	92.2	0.921999990940094
14	16.457292100000018	0.001	0.003429328218657072	99.90829053558328	0.9990829229354858	0.36090582425147294	91.8	0.9179999828338623
15	17.394706900000017	0.001	0.0029264926595692535	99.92663242846662	0.9992663264274597	0.3621990847447887	92.6	0.9259999990463257
